Airplane.Type,Avg_Injuries_per_Incident,Risk.Score,Weighted_Risk,Damage_Risk,Severity_Risk,Number.of.Engines
aircraft mfg & dvlpmt co ch601xli slsa,1.0,3.0,10.752493600494306,3.0,2.0,1.0
airindus thorpedo t211,0.0,0.0,0.0,2.0,1.0,1.0
airmax construcoes aeronautica seamax-m22,0.0,0.0,0.0,2.0,1.0,1.0
airparts nz ltd fu 24 stallion,1.0,3.0,7.168329066996204,2.0,2.0,0.0
airplane factory (pty) ltd sling,0.0,0.0,0.0,2.0,1.0,1.0
airplane factory (pty) ltd sling lsa,0.0,0.0,0.0,2.0,1.0,1.0
airplane factory (pty) ltd the sling,2.0,3.0,14.336658133992408,2.0,1.0,1.0
airplane factory sport light,0.0,0.0,0.0,2.0,1.0,1.0
airtime aircraft inc cygnet,0.0,0.0,0.0,2.0,1.0,1.0
albright stan kitfox super sport,0.0,0.0,0.0,2.0,1.0,1.0
alexander duane a rv-8,0.0,0.0,0.0,2.0,1.0,1.0
alexander lancair 320,0.0,0.0,0.0,2.0,1.0,1.0
alexander rv-7,1.0,3.0,10.752493600494306,3.0,2.0,1.0
alexander thomas p sportsman gs-2,1.0,3.0,10.752493600494306,3.0,2.0,1.0
algimantas jonusas rv-10,2.0,2.0,9.557772089328273,2.0,1.0,1.0
aliev bulent cozy mark iv,0.0,0.0,0.0,2.0,1.0,1.0
allardyce michael glastar,1.0,2.0,4.778886044664136,2.0,1.0,1.0
allegro 2000,0.0,0.0,0.0,2.0,1.0,1.0
allen bd-5,1.0,1.0,2.389443022332068,2.0,1.0,1.0
allen jan a challenger ii,0.0,0.0,0.0,2.0,1.0,1.0
allen raymond h lancair legacy,0.0,0.0,0.0,2.0,1.0,1.0
allen robert rv6,0.0,0.0,0.0,2.0,1.0,1.0
allen steen skybolt,2.0,6.0,43.009974401977225,3.0,2.0,1.0
"allied ag cat productions, inc g-164a",0.0,0.0,0.0,2.0,1.0,1.0
alon a-2a,0.0,0.0,0.0,2.0,1.0,1.0
alon a2,0.5,1.0,1.3739297378409392,2.1,1.1,1.0
alonso ch 701,0.0,0.0,0.0,2.0,1.0,1.0
alpi aviation pioneer,2.0,6.0,43.009974401977225,3.0,2.0,0.0
alvarez marvin r rans s-6s,0.5,1.0,1.792082266749051,2.5,1.0,1.0
amateur built aircraft van's rv-6,1.0,3.0,10.752493600494306,3.0,2.0,1.0
amateur built aircraft van's rv-6a,1.0,3.0,7.168329066996204,2.0,2.0,1.0
amateur built quickie q2,2.0,4.0,28.673316267984816,3.0,1.0,1.0
amateur built varieze,1.0,1.0,2.389443022332068,2.0,1.0,1.0
amateur construction glasair rg,1.0,3.0,10.752493600494306,3.0,2.0,1.0
amateur construction rans s6-esd (modifie,2.0,6.0,28.673316267984816,2.0,2.0,1.0
amd ch2000,0.0,0.0,0.0,2.0,1.0,1.0
amen star lite,0.0,0.0,0.0,2.0,1.0,1.0
american aa,1.0,1.0,2.389443022332068,2.0,1.0,1.0
american aa 1,0.5,1.0,1.194721511166034,2.25,1.0,1.0
american aa-1,1.2857142857142858,2.4285714285714284,7.4609139268736016,2.0,1.2857142857142858,1.0
american aa-1a,2.0,2.0,14.336658133992408,3.0,1.0,1.0
american aa-1b,0.0,0.0,0.0,2.0,1.0,1.0
american aa-5,0.5,1.0,1.194721511166034,2.0,1.0,1.0
american aa-5b,2.0,5.0,23.894430223320683,2.0,2.0,1.0
american aa5b,2.0,2.0,9.557772089328273,2.0,1.0,1.0
american air racing ltd thunder mustang,1.0,3.0,7.168329066996204,2.0,2.0,1.0
american air racing thunder mustang,0.0,0.0,0.0,3.0,1.0,1.0
american aviation aa 1,0.5,1.5,1.792082266749051,2.0,1.5,1.0
american aviation aa 1a,1.3333333333333333,1.6666666666666667,5.309873382960151,2.0,1.0,0.6666666666666666
american aviation aa 5,0.5,1.5,1.792082266749051,2.0,1.5,1.0
american aviation aa-1a,1.0,2.857142857142857,7.851027073376794,2.2857142857142856,1.4285714285714286,1.0
american aviation aa1,1.25,2.5,8.58706086150587,2.25,1.25,1.0
american aviation aa5,1.75,4.0,21.430317106540734,2.5,1.5,1.0
american aviation corp. (aac) aa-1,0.0,0.0,0.0,2.0,1.0,1.0
american aviation corp. (aac) aa-1a,2.0,4.0,19.115544178656545,2.0,1.0,1.0
american aviation corp. (aac) grumman aa 1b,0.0,0.0,0.0,2.0,1.0,1.0
american champion (acac) 7ac,0.0,0.0,0.0,2.0,1.0,1.0
american champion (acac) 7eca,0.0,0.0,0.0,2.0,1.0,1.0
american champion (acac) 7gcaa,0.0,0.0,0.0,2.0,1.0,1.0
american champion (acac) 7gcbc,0.25,0.75,0.44802056668726276,2.0,1.25,1.0
